id,X,input,output,out_i,rules
11,4,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
11,5,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
11,6,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
11,7,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
11,8,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
11,9,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
11,10,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
11,11,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
11,12,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
11,13,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
11,14,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
12,0,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,1,00000100020001000_010_000000
12,1,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,2,00000100020001000_010_000000
12,2,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,3,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,4,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,5,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,6,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,7,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,8,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,9,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,10,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,11,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,12,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,13,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
12,14,1_2_4_-1,1p0_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
13,0,1_2_4_-1,1_2_4_5_6_7_8_9_10_11_12_13_14_15_16,1,00100000021000000_100_000000
